effect_id,name,kind,scale,memo
エフェクトID,表示名,出し方,表示倍率,備考
slash_s,斬撃（小）,impact,0.85,軽い剣の一閃。細い弧
slash_m,斬撃（中）,impact,1.15,標準の剣。太く長い弧
slash_l,斬撃（大）,impact,1.45,両手武器の薙ぎ払い。太い弧＋残り筋
arrow,矢,projectile,0.9,弓の矢
arrow_bone,呪いの矢,projectile,0.9,骨の矢＋冷たい青緑の燐光
arrow_bolt,太矢,projectile,1.05,バリスタの太矢。太い軸＋大きな鉄の穂
arrow_crossbow,クロスボウの矢,projectile,0.9,ハンターのクロスボウ。絵は arrow と同じ・音は arrow_bolt と同じ
stone,投石,projectile,0.32,スリングの小石＝速度線ごと兵士の3割ほど
cannonball,砲弾,projectile,0.55,飛空艇の砲。鉄球＋速度線。射程1だが飛ばす
magic_bolt,魔弾,projectile,0.7,青白い魔力の弾
magic_dust,魔法の粉,projectile,0.8,ロッドから飛ぶ無数の小さな丸と星。粒でなく図形で描く（切り抜きのため）
fire_ball,火球,projectile,0.8,呪い師の深紅の火の玉＋尾を引く炎
curse,呪い,impact,1.0,浮かび上がる青緑のドクロ
curse_wisp,呪いの燐気,impact,0.9,顔のある青緑の魂火が数体まとわりつく。中心は空洞（触れる死＝ゴースト系）
claw,爪痕,impact,0.9,3本の裂け目
bite,牙,impact,1.0,大蛇の顎。正面で上下に開く＋大牙2本。面積が大きいので中心は空洞
punch,打撃,impact,0.8,徒手の一撃。同心の衝撃線
holy,聖光,impact,1.0,近接の聖なる一撃。射程1なので飛ばさない
spore,胞子,projectile,0.75,マタンゴの胞子。霞でなく粒の図形で描く（切り抜きのため）
scream,悲鳴,impact,1.0,マンドラゴラの魔法の悲鳴。面積が大きいので中心は空洞
