id,name,layer,char,atk,def,sight_cost,memo
地形ID,管理名,表示レイヤー,識別文字,地形攻,地形防,視線コスト,特徴
road,道,footing,L,1.0,0.8,1,見通しが良く防御が低い
plain,平地,footing,.,1.0,1.0,1,特徴なし
wasteland,荒地,footing,%,1.0,1.0,1,移動コストやや高め
rampart,城壁,footing,W,1.0,1.0,x,飛行ユニットと斥候が移動可能
river,川,footing,R,1.0,1.0,1,飛行ユニットのみ移動可能
wall,壁,footing,#,1.0,1.0,x,全ユニット移動不可
plateau,台地,footing,P,1.2,1.2,1,攻防ともにアップ
forest,森,footing,F,1.0,1.2,2,防御有利、移動コストやや高め、専用通過ユニット有
bush,茂み,footing,*,1.2,1.0,2,攻撃有利、移動コストやや高め、専用通過ユニット有
bedrock,岩地,footing,M,0.6,0.6,2,攻防不利、移動コスト高め、専用通過ユニット有
fence,柵,object,+,1.0,1.5,1,防御特化、移動コスト高め
trap,罠,object,T,1.5,1.0,1,攻撃特化、移動コスト高め
prop,置物,object,U,0.8,0.8,2,攻防不利、移動コストやや高め
rubble,瓦礫,object,G,0.6,0.6,3,飛行ユニットと斥候が移動可能
rock,大岩,object,C,1.0,1.0,x,飛行ユニットのみ移動可能
building,建物,object,B,1.2,0.8,3,攻撃有利、防御不利
fort,砦,object,O,0.8,1.2,3,防御有利、攻撃不利
keepout,立入禁止,object,X,1.0,1.0,x,全ユニット移動不可・視線も遮る。高低差の縁などをゲーム記号で塞ぐ
