keys,ja,en
ui.title.continue,冒険の続き,Continue
ui.title.new_adventure,新しい冒険譚,New Adventure
ui.title.settings,設定,Settings
ui.title.manual,マニュアル,Manual
ui.title.quit,おわる,Quit
ui.manual.title,マニュアル,Manual
ui.manual.back,← メニュー,← Menu
ui.quest.locked_title,まだ受けられない依頼,Quest Locked
ui.quest.back,別の依頼を選ぶ,Choose Another Quest
ui.quest.set_out,出発する,Set Out
ui.quest.close,閉じる,Close
ui.quest.party_set_out,以下のユニットが出発します,Your party for this quest
ui.quest.party_carry,この先も共に戦うユニット,Units that stay with you
ui.quest.party_oneoff,この依頼限りのユニット,Units provided for this quest only
ui.quest.party_lost,兵数がゼロで出発できないユニット,Units at zero strength — can't set out
ui.quest.interlude_refill,十分に休息したため、兵数が全快している,Rested well — every unit is back to full strength
ui.quest.interlude_damaged,休息を取る間もなく、兵数は前の戦いのまま,No time to rest — units carry their losses into this fight
ui.quest.interlude_revive,倒れた仲間も戻り、兵数が全快している,"The fallen return, and every unit is back to full strength"
ui.quest.unlock_nth,%d番めの依頼をクリアで解放,Clear quest %d to unlock
ui.quest.unlock_other,別の依頼をクリアで解放,Clear another quest to unlock
ui.quest.unlock_stage,「%s」クリアで解放,Clear “%s” to unlock
ui.quest.unlock_dlc,追加コンテンツ,Additional Content
ui.quest.unlock_sep,・,"; "
ui.select.debug_note,（開発ビルド限定）,(Debug build only)
ui.select.danger,危険度,Danger
ui.select.menu,← メニュー,← Menu
ui.select.back_tales,← 冒険譚,← Adventures
ui.title.chronicle,クロニクル,Chronicle
