keys,ja,en
ui.report.tab_summary,サマリー,Summary
ui.report.tab_attack,攻撃,Attack
ui.report.tab_counter,反撃,Counter
ui.report.name_lv,%s Lv%d,%s Lv%d
ui.report.strength_change,兵数,Strength
ui.report.shield_change,シールド,Shield
ui.report.total_atk,総攻撃,Effective Atk
ui.report.total_def,総防御,Effective Def
ui.report.attack,攻撃,Attack
ui.report.defense,防御,Defense
ui.report.terrain,地形,Terrain
ui.report.encircled,包囲,Encircled
ui.report.support,支援,Support
ui.report.buff,状態補正,Status Effect
ui.report.atk_vs_ground,対地 %d,vs Ground %d
ui.report.atk_vs_air,対空 %d,vs Air %d
ui.report.no_counter,反撃なし,No Counter
ui.report.modifier_unnamed,状態補正,Status Effect
ui.report.status_dot,%s 毒 -%d/ターン,%s Poison -%d/turn
ui.report.head_attack,%s → %s の攻撃,Attack: %s → %s
ui.report.head_counter,%s → %s の反撃,Counter: %s → %s
ui.report.col_attack,%sの攻撃,%s's Attack
ui.report.col_defense,%sの防御,%s's Defense
ui.report.base_stat,素の値,Base
ui.report.eff_total,実効値,Effective
ui.report.strength,兵数,Strength
ui.report.level,Lv,Lv
ui.report.status,状態補正,Status Effect
ui.report.pierce,貫通,Pierce
ui.report.eff_atk,実効攻撃力,Effective Atk
ui.report.eff_def,実効防御力,Effective Def
ui.report.support_capped,防御の支援は素の2倍が上限。上限に当たっている。,Defense support is capped at twice the base value. The cap was hit.
ui.report.no_counter_reason,"  反撃なし（距離2以上・対空を持たない・懐に死角のいずれか）","  No counter (range 2+, no attack vs air, or a blind spot up close)"
ui.report.loss_rate_formula,"  損害率 ＝ 実効攻撃力² ÷ (実効攻撃力² ＋ 実効防御力²)","  Loss rate = Effective Atk² ÷ (Effective Atk² + Effective Def²)"
ui.report.loss_rate_values,"       ＝ %d×%d ÷ (%d×%d ＋ %d×%d) ＝ %d%%","       = %d×%d ÷ (%d×%d + %d×%d) = %d%%"
ui.report.loss_line,"  %sが失う兵数 ＝ 兵数%d × %d%% ＝ %d","  %s loses: Strength %d × %d%% = %d"
ui.result.turns,ターン,Turns
ui.result.survived,生存,Survived
ui.result.defeated,撃破,Defeated
ui.result.rank,ランク,Rank
ui.result.goal_turn,%sランク　%dターン未満,Rank %s  under %d turns
ui.result.goal_alive,%sランク　%d体以上,Rank %s  %d or more units
ui.result.note_mark,※,*
ui.result.note_weapons,※兵器は数に入りません,* War Machines are not counted
ui.result.time,所要時間,Time
ui.result.best_time,最速 %s,Best %s
ui.result.time_days,%d日 %d:%02d,%dd %d:%02d
ui.result.retry,もう一度挑む,Set Out Again
ui.result.to_select,依頼ボードへ戻る,Back to the Quest Board
