keys,ja,en
ui.save.cancel,やめる,Cancel
ui.save.heading_save,セーブ,Save
ui.save.heading_load,ロード,Load
ui.save.heading_continue,冒険の続き,Continue
ui.save.auto,オート,Auto
ui.save.empty,空き,Empty
ui.save.turn_start,ターン%d 開始時,Start of Turn %d
ui.save.sep,"  ｜  ","  |  "
ui.save.campaign_stage,%s — %s,%s — %s
ui.save.confirm_overwrite,この枠に上書きしますか？,Overwrite this save?
ui.save.confirm_overwrite_yes,はい,Overwrite
ui.save.confirm_load,いまの盤面は失われます。読み込みますか？,The current battle will be lost. Load this save?
ui.save.confirm_load_yes,はい,Load
