skin_id,name,side,type_id,category,map_scale,map_offset_x,map_offset_y,combat_scale,combat_lineup,retainers,combat_effect,map_move_sfx,on_board
スキンID,表示名,陣営,種別ID,分類,描画倍率,横位置補正,縦位置補正,戦闘倍率,表示パターン,従者,攻撃エフェクト,移動音,盤上
novice,ノービス,ally,novice,infantry,0.95,0,0,0.95,squad,,slash_s,,true
fighter,ファイター,ally,fighter,infantry,1.0,0,0,1.0,squad,,slash_m,,true
vanguard,ヴァンガード,ally,vanguard,infantry,1.0,0,0,1.0,squad,,slash_l,,true
knight,ナイト,ally,knight,infantry,1.05,0,0,1.05,squad,,slash_m,,true
dwarf,ドワーフ,ally,dwarf,infantry,0.9,0,0,0.9,squad,,slash_l,,true
archer,アーチャー,ally,archer,archer,1.0,14,0,1.0,squad,,arrow,,true
hunter,ハンター,ally,hunter,archer,1.05,0,0,1.05,squad,,arrow_crossbow,,true
elf,エルフ,ally,elf,archer,1.0,5,0,1.0,squad,,arrow,,true
thief,シーフ,ally,thief,scout,1.0,0,0,1.0,squad,,slash_m,,true
halfling,ハーフリング,ally,halfling,scout,0.7,0,0,0.7,squad,,stone,,true
ninja,ニンジャ,ally,ninja,scout,1.0,0,0,1.0,squad,,,,true
kunoichi,クノイチ,ally,kunoichi,scout,0.9,0,0,0.9,squad,,,,true
cleric,クレリック,ally,cleric,clergy,0.9,0,0,0.9,squad,,holy,,true
priest,プリースト,ally,priest,clergy,1.0,0,0,1.0,squad,,holy,,true
bishop,ビショップ,ally,bishop,clergy,1.0,0,0,1.0,squad,,holy,,true
paladin,パラディン,ally,paladin,clergy,1.05,0,0,1.05,squad,,slash_m,,true
mage,メイジ,ally,mage,mage,1.0,0,0,1.0,squad,,magic_bolt,,true
wizard,ウィザード,ally,wizard,mage,1.1,14,0,1.1,squad,,magic_bolt,,true
witch,ウィッチ,ally,witch,mage,0.95,0,0,0.95,squad,,magic_bolt,,true
wagon,馬車,ally,wagon,transport,0.95,0,0,1.3,single,,,move_wagon,true
horse,馬,ally,horse,transport,0.9,0,0,1.1,single,,,move_hoof,true
airship,飛空艇,ally,airship,transport,1.3,0,20,1.3,single,,cannonball,move_propeller,true
pixie,ピクシー,ally,pixie,flier,0.68,0,20,0.68,squad,,magic_dust,move_float,true
birdman,バードマン,ally,birdman,flier,1.0,0,20,1.0,squad,,punch,,true
birdman_child,鳥人の子,ally,birdman,flier,0.75,0,20,0.75,squad,,,,false
