id,atk_ground,atk_air,pierce,defense,move,move_type,range,move_after_attack,can_capture,max_troops,capacity,category,memo
種別ID,対地,対空,貫通率,防御,移動,移動タイプ,射程,攻撃後移動,占領可,満員兵数,搭乗数,兵種,備考
cleric,20,0,0,20,2,ground,1,false,true,8,0,clergy,見習い
priest,40,0,0,20,2,ground,1,false,true,8,0,clergy,
bishop,20,0,0,40,2,ground,1,false,true,8,0,clergy,
paladin,50,0,0,50,5,ground,1,false,true,8,0,clergy,
slinger,20,20,0,20,3,ground,1-2,false,false,8,0,archer,見習い
archer,30,40,0,30,4,ground,1-3,false,false,8,0,archer,
hunter,30,50,0,30,5,ground,1-4,false,false,8,0,archer,
elf,30,60,0,20,4,forest_walk,1-5,false,false,8,0,archer,
mage,20,20,0.5,20,4,ground,2-3,false,false,8,0,mage,見習い
wizard,40,40,0.5,30,4,ground,2-4,false,false,8,0,mage,
witch,30,30,0.5,30,4,ground,2-5,false,false,8,0,mage,
scout,20,0,0,20,7,light_foot,1,true,false,8,0,scout,見習い
thief,50,10,0,20,7,light_foot,1,true,false,8,0,scout,
halfling,40,10,0,20,7,bush_walk,1-2,true,false,8,0,scout,
ninja,70,10,0,20,8,light_foot,1,true,false,8,0,scout,
kunoichi,30,30,0.5,20,7,light_foot,1,true,false,8,0,scout,忍術使うので魔法扱い
pixie,10,10,0.5,10,5,flight,1,false,false,8,0,flier,
birdman,30,30,0,30,6,flight,1,false,false,8,0,flier,
pegasus,0,90,0,30,12,flight,1,false,false,8,0,flier,
valkyrie,70,20,0,30,10,flight,1,false,false,8,0,flier,
novice,45,0,0,30,5,ground,1,false,false,8,0,infantry,
fighter,50,0,0,40,6,ground,1,false,false,8,0,infantry,
vanguard,55,0,0,50,6,ground,1,false,false,8,0,infantry,
samurai,70,0,0,50,5,ground,1,false,false,8,0,infantry,
knight,50,0,0,70,5,ground,1,false,false,8,0,infantry,
dwarf,60,0,0,60,4,mountain_walk,1,false,false,8,0,infantry,
magic_knight,45,0,0.5,40,6,ground,1,false,false,8,0,infantry,短距離の魔法扱いの魔法剣を使う
sorcerer,50,50,0.5,10,2,ground,2-5,false,false,8,0,champion,
sniper,80,80,0,20,2,ground,2-5,false,false,8,0,champion,
warlord,70,0,0,70,6,ground,1,false,false,8,0,champion,
juggernaut,80,0,0,80,2,ground,1,false,false,8,0,champion,動かない要塞（移動2・射程1）。近寄った者を潰す
dragon,70,70,0,50,11,flight,1,false,false,8,0,champion,
wagon,0,0,0,10,6,ground,1,false,false,8,4,transport,
airship,10,10,0,10,9,flight,1,false,false,8,4,transport,
barricade,0,0,0,80,0,fixed,0,false,false,8,0,emplacement,
ballista,90,30,0,20,0,fixed,2-6,false,false,8,0,emplacement,
slime,20,0,0,20,2,ground,1,false,false,8,0,monstrosity,分裂スキルで増える
,,,
